gene,importance
NCK1,0.0005624070152659078
CACYBP,0.0005606214169358391
GJB3,0.0005577342771588462
IFRD1,0.0005564489814617288
HPRT1,0.0005561488484278223
CRAT,0.0005559951846790479
GNAI1,0.000554428672091909
FHL1,0.0005519684675003641
ARID5B,0.0005502766457701706
PROC,0.0005463209573593844
SLC25A37,0.0005450812962881309
ATP6V0D1,0.0005444570078389346
RAB17,0.0005443871503346155
SLC16A1,0.0005441702549947998
POLR3K,0.0005440371968181497
IDH2,0.0005429254906761725
JAM3,0.000542628985063404
PARVA,0.0005425580827479059
IGFBP4,0.0005399512375206078
GAMT,0.0005367731445274095
HMGB2,0.0005351334825425075
FBXW7,0.0005342492857480008
GLS,0.0005316156834761231
TNFRSF21,0.0005308440422141757
PRIM2,0.0005290634630625749
CA6,0.0005215771276953456
YWHAZ,0.0005211642389749835
PVT1,0.0005211381000105597
IRS1,0.000518120568901364
PLAGL1,0.0005169216089182414
CLEC5A,0.0005120545024502584
ALDH3A1,0.0005114826337798584
KCNMB1,0.0005106173960080577
NRTN,0.0005102326818040951
TMPO,0.0005098548452091916
LSM4,0.000509225419360161
CDK8,0.0005083854979653757
CYB5A,0.000506276713853943
ACKR1,0.0005049160629345441
GPD1,0.000503673991837889
LAMB3,0.000503582024260125
SCAMP3,0.0005031220139944476
APH1A,0.0005030829585644132
MATN3,0.000502999068237718
AQP7,0.0005025130192778558
CLDN5,0.0005023154279636061
CDH3,0.0005019656130466915
LBR,0.0005002191222065542
ACSL1,0.0004962075365662679
EFS,0.0004954864220756179
RABEP1,0.000495411130410807
VEGFA,0.0004945166668375755
NCS1,0.0004941722765240424
CCDC88A,0.0004915205565003612
MSN,0.0004908997855781199
PRODH,0.0004880032734401997
KCNH1,0.00048730145356159463
DMRT1,0.00048532021198922074
B3GAT1,0.00048361913285791674
PPARA,0.0004834836909608027
NOTCH1,0.0004834483339135341
GPD1L,0.00048327586833661515
TSC22D1,0.0004813310917594956
CXCL16,0.00048012962117968563
DUSP5,0.00047951517860742314
CCT3,0.0004784019934076863
TP63,0.0004741940566694905
KYNU,0.000472113340828282
ARTN,0.0004682667773351595
MEIS1,0.00046528492708458174
PLAC1,0.00046460529225184446
CDC42EP1,0.00046292359907105276
PPP4C,0.00045962899182055685
CAV2,0.00045179816303293763
MCCC1,0.000447120037538462
EDAR,0.00044502870322229006
ENPP2,0.0004443007540040961
IL1RL2,0.00044361842083416293
S100A11,0.000443514670233285
ENO1,0.00044216257046935243
CISH,0.00044166585840966485
F8,0.000440943573328928
MMP15,0.0004409330782734982
BMP6,0.00044045154650179864
SRPK1,0.0004403785866456304
RFC4,0.0004379713552879489
CPQ,0.0004369679125468158
ADGRL2,0.0004364326640189215
CXCL1,0.0004352709297197561
SLC7A2,0.00043429044570867775
ABHD2,0.0004327156195382971
CX3CL1,0.00043171514996999204
DNMBP,0.0004312926149930152
SLC1A2,0.0004264948186213175
POLR3G,0.0004259335116490397
GYPC,0.00042532184494040127
SERPINA6,0.0004250230166451591
MALL,0.000424690606162475
TF,0.0004181060870992801
SLC31A1,0.0004175245287183989
GPER1,0.0004166740758510294
SEMA3B,0.00041462141652848027
VIPR1,0.00041447013861605847
TLE1,0.000410383081567645
HRH1,0.0004088522735585731
HMGCL,0.00040665152357334734
PDZK1,0.00040610676182837425
EFEMP1,0.0004034102903715203
PELI1,0.00040300922376360017
SUCLG2,0.000402546506504936
SIRPA,0.00039835881667014077
PRIM1,0.0003975454772982719
CCL11,0.00039713335167907945
RAPGEF3,0.0003926548145509498
RAP2B,0.00039191652935720224
GEM,0.00038981643765770567
SNX24,0.0003895864749705139
VPS37B,0.00038810847092221574
CDR2,0.0003808415572511763
IL12RB2,0.0003784057687688168
TMPRSS2,0.0003777811518918859
TJP3,0.00037640693266149716
SCNN1A,0.0003754640309369209
CPB1,0.00037467286761759343
CLTC,0.00037457431811186765
BTG3,0.0003737288312196467
B4GALNT2,0.0003696746181335406
BRAF,0.0003695892217420993
HSD17B7,0.0003689975354240706
TPBG,0.000368884408688038
CROT,0.0003679347145974505
SCUBE1,0.0003659899913299025
CALB2,0.00036549241161509615
EFNA5,0.00036520159836823593
RCAN1,0.00036455012042126367
GMPS,0.00036453799677117765
BTRC,0.00036376842488167687
DCAF10,0.00036249339118511276
COMP,0.00036116729660092966
RBBP8,0.0003611286702834255
RBL1,0.00036026686095494003
CDADC1,0.00035714015399604946
SLC25A1,0.0003559515540348851
CACNA1H,0.0003523748673377976
PSIP1,0.0003488130986106331
MAPRE1,0.00034821723404570307
MXI1,0.0003477765686535576
FAH,0.00034196468262470177
KCNMA1,0.0003397676073405559
FZD4,0.0003393970827168701
KLF5,0.0003392537931157423
PSMC6,0.0003358390921140322
PRKAG1,0.0003340160627421418
CSAD,0.00033391717914772935
NCOA7,0.0003331151402856398
PGM1,0.00033243285973613793
INMT,0.00033094320972895886
CAPN9,0.00033079120409639987
ARHGEF9,0.0003299279365250836
STAT5A,0.0003293274489279162
ALDH1A2,0.0003287808844364961
MSH2,0.0003287231033040754
ACAT2,0.0003281077703849006
PFKP,0.0003277406621981629
ACSS2,0.0003267975836851601
CFI,0.00032677862685673536
DBI,0.00032611120403225113
NPY5R,0.0003252387972928106
UGP2,0.0003250148039602274
TCF7L2,0.0003238379002580739
HK2,0.00032383251612344213
KRT15,0.0003224525312984553
MAL2,0.0003204650088064349
CACNG1,0.00032038358346418694
ACTR2,0.0003195937225984663
SRD5A3,0.00031900123332614087
MYBL1,0.0003159387110715042
IDH1,0.0003159370235440741
OPTN,0.00031510261674753596
ACOX2,0.00031437322515416566
CKAP5,0.0003134987011024368
LTF,0.0003132047180729895
OVOL2,0.00031272570755330303
UQCRH,0.0003097181249672004
BCAN,0.00030878684175015175
ACSM3,0.00030759230905151136
PSMD12,0.0003061396921837442
PSMC3IP,0.0003027383043212618
BPNT1,0.0003024967037294735
COMT,0.0003020434250666431
PACRG,0.0002994232929613895
BID,0.00029910516728224505
SUCLG1,0.0002986744608350346
